Record #,Easting,Northing,Elev,Trend
,(m),(m),(m),(°)
1,318433,5251799,952,39
2,318541,5255062,1015,71
3,319108,5248963,934,14
4,320758,5251012,948,40
5,321021,5251334,948,38
6,321189,5251542,948,54
7,321350,5251282,938,64
8,321908,5251349,943,56
9,322028,5251484,942,48
10,322065,5253318,993,62
11,322175,5251666,943,33
12,322543,5255522,942,16
13,322670,5252829,965,39
14,322775,5244072,946,4
15,322825,5243985,946,30
16,322896,5253357,966,54
17,322952,5243517,948,37
18,323035,5240854,932,40
19,323147,5241019,933,32
20,323367,5250158,932,22
21,323405,5250203,931,44
22,323594,5238100,901,61
23,323869,5256424,945,133
24,323876,5258913,951,88
25,323968,5257122,947,131
26,323971,5258900,950,99
27,324068,5256297,944,61
28,324078,5258807,949,114
29,324295,5256344,940,56
30,324317,5239283,918,84
31,324445,5239199,920,161
32,324605,5238618,908,60
33,324634,5238437,903,93
34,324667,5256493,935,139
35,324828,5254432,944,150
36,325129,5241759,925,47
37,325214,5241855,927,37
38,325275,5241605,936,39
39,325451,5235880,901,76
40,325514,5235904,901,58
41,325572,5241540,935,52
42,325649,5264494,950,88
43,326088,5235697,919,151
44,326106,5242309,916,39
45,326150,5235553,919,150
46,326401,5265512,941,122
47,326443,5265512,941,126.4
48,326579,5259808,935,44
49,326615,5235121,923,171
50,326775,5266046,939,150
51,326819,5266127,938,170
52,326823,5265140,931,142
53,326867,5266055,940,154
54,326886,5264570,931,174
55,326906,5265985,937,109
56,326921,5264806,943,118
57,326930,5265137,934,139
58,326941,5266064,940,150
59,327027,5266063,948,120
60,327050,5266651,927,175
61,327063,5264661,930,14
62,327090,5266495,929,175
63,327090,5265035,936,147
64,327091,5265933,940,111
65,327106,5266046,947,134
66,327125,5264861,934,170
67,327204,5264186,928,81
68,327290,5264163,926,88.7
69,327290,5264163,926,89
70,327294,5265950,943,80
71,327350,5264173,927,95
72,327350,5264173,928,96.6
73,327375,5265972,943,59
74,327425,5267871,919,108
75,327456,5260798,929,154.1
76,327488,5266017,943,72
77,327567,5260521,927,152
78,327702,5260361,927,141.5
79,327746,5264955,932,123
80,327787,5264910,933,132
81,327902,5271382,880,73
82,327971,5267513,920,21.9
83,327990,5268041,936,123
84,328038,5236281,882,116
85,328059,5263693,924,69
86,328078,5263579,929,51
87,328110,5267683,919,55.3
88,328183,5271387,881,86
89,328246,5269184,918,179
90,328251,5269261,921,30
91,328289,5263198,935,97
92,328289,5263827,933,59
93,328320,5269629,942,67
94,328363,5267684,917,98.9
95,328429,5263722,933,72
96,328443,5236372,901,121
97,328470,5271139,878,51
98,328481,5263763,926,86
99,328537,5236244,899,125
100,328543,5269355,928,108
101,328663,5263755,920,93
102,328813,5263996,925,73
103,328826,5270638,879,41
104,328847,5263915,923,70
105,328975,5241005,915,22
106,329011,5263699,921,90
107,329033,5263750,921,77
108,329241,5263884,918,75
109,329576,5241646,912,58
110,329723,5263208,930,146
111,329927,5258177,918,120
112,330006,5241548,912,66
113,330014,5258077,917,117
114,330082,5262892,931,24
115,330247,5262870,931,161.8
116,330279,5234609,913,165
117,330284,5261432,929,69
118,330292,5262685,930,139.7
119,330321,5261577,925,68
120,330363,5241656,911,88
121,330422,5263384,922,116
122,330448,5239049,884,115
123,330485,5241768,911,104
124,330505,5261158,932,64
125,330511,5261088,932,77
126,330522,5241566,912,110
127,330595,5261875,929,75
128,330768,5262707,923,54.7
129,330779,5262842,929,42.2
130,330792,5241395,911,80
131,330793,5261915,930,74
132,330798,5260876,925,48
133,330892,5260877,926,76
134,330971,5241412,911,116
135,331266,5263042,931,65
136,331327,5263216,928,69.3
137,331333,5263216,929,62.7
138,331554,5263239,930,74.6
139,331560,5263296,927,68
140,331565,5235495,908,129
141,331577,5269673,894,44
142,331619,5235445,909,101
143,331729,5235502,908,36
144,331831,5263276,929,96
145,331832,5235543,906,70
146,331847,5263336,925,99
147,331986,5263222,930,113.5
148,332069,5235924,902,70
149,332149,5261525,926,115
150,332224,5265191,897,62
151,332257,5265151,898,66
152,332268,5263151,930,117
153,332340,5263112,929,87.4
154,332353,5265106,897,65
155,332498,5263071,929,108
156,332498,5263071,930,109.9
157,332530,5261994,927,68
158,332592,5235733,892,109
159,332621,5262197,928,49
160,332661,5262213,928,72
161,332683,5236050,887,110
162,332804,5264059,912,51
163,332842,5262266,926,68
164,332890,5263962,913,34
165,332921,5262977,930,123
166,332999,5263252,913,30
167,333014,5263446,911,35
168,333024,5260202,925,51
169,333155,5274350,866,47.4
170,333161,5263826,903,35
171,333217,5274403,866,25.6
172,333257,5263464,906,83
173,333362,5252995,864,130
174,333369,5274460,859,92.4
175,333390,5260088,925,43
176,333400,5250967,894,38
177,333422,5252935,865,146
178,333477,5274435,861,106.2
179,333482,5251015,892,46
180,333499,5259746,931,89
181,333514,5251034,891,68
182,333531,5259634,926,121
183,333585,5260409,923,65
184,333678,5261782,923,100
185,333693,5260357,919,155
186,333757,5235812,880,83
